timestamp,traffic_label,channel,frequency_mhz,bandwidth_mhz,tx_power_dbm,cwmin,cwmax,noise_floor_dbm,channel_busy_percent,nss,rts_cts,latency_min_ms,latency_avg_ms,latency_max_ms,clients,proto,streams,udp_rate,tcp_window,throughput_bps,loss_pct,jitter_ms,client_mac,tx_delta_bytes,estimated_throughput_bps
2025-07-29 14:06:55,TEST1_20250729_140655,40,5200,40,10,7,15,-92,0,2,off,78.83,114.174,149.894,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -59, 'tx_retries': 45, 'tx_failed': 45, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 300, 'tx_bytes': 146499286, 'rx_bytes': 230545, 'mcs_index': 7}]",TCP,1,,1M,113232343.12099135,0.0,,68:54:5a:e2:f2:c0,146498840,117199072
2025-07-29 14:08:10,TEST2_20250729_140810,40,5200,40,10,7,15,-92,0,2,off,15.983,106.75,196.866,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -60, 'tx_retries': 787, 'tx_failed': 787, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 300, 'tx_bytes': 291157087, 'rx_bytes': 444121, 'mcs_index': 7}]",TCP,1,,2M,113240772.44292274,0.0,,68:54:5a:e2:f2:c0,291156641,232925312
2025-07-29 14:09:25,TEST3_20250729_140925,40,5200,40,10,7,15,-92,0,2,off,16.213,106.733,197.18,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -60, 'tx_retries': 1077, 'tx_failed': 1077, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 300, 'tx_bytes': 436428512, 'rx_bytes': 658645, 'mcs_index': 7}]",TCP,1,,4M,115342033.566614,0.0,,68:54:5a:e2:f2:c0,436428066,349142452
2025-07-29 14:10:46,TEST1_20250729_141046,36,5180,40,10,31,63,-92,16,2,off,22.002,140.453,203.989,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -49, 'tx_retries': 58, 'tx_failed': 58, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 162, 'tx_bytes': 64312031, 'rx_bytes': 4676, 'mcs_index': 7}]",UDP,1,50M,,49996154.02999856,0.0,0.029377609235210003,68:54:5a:e2:f2:c0,64311585,51449268
2025-07-29 14:12:01,TEST2_20250729_141201,36,5180,40,10,31,63,-92,15,2,off,16.914,107.924,197.888,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -59, 'tx_retries': 651, 'tx_failed': 651, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 300, 'tx_bytes': 207184218, 'rx_bytes': 2239378, 'mcs_index': 7}]",TCP,16,,,124139571.38525808,0.0,,68:54:5a:e2:f2:c0,207183772,165747017
2025-07-29 14:13:17,TEST3_20250729_141317,36,5180,40,10,31,63,-92,14,2,off,17.517,107.322,197.536,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -60, 'tx_retries': 2246, 'tx_failed': 2246, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 300, 'tx_bytes': 348294178, 'rx_bytes': 2242145, 'mcs_index': 7}]",UDP,1,200M,,109703066.6051605,0.050684772393693005,0.157392770637577,68:54:5a:e2:f2:c0,348293732,278634985
2025-07-29 14:14:38,TEST1_20250729_141438,40,5200,40,17,31,63,-92,10,2,off,76.32,118.028,155.94,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -60, 'tx_retries': 1, 'tx_failed': 1, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 300, 'tx_bytes': 145216396, 'rx_bytes': 223099, 'mcs_index': 7}]",TCP,1,,512K,111459988.50212991,0.0,,68:54:5a:e2:f2:c0,145215135,116172108
2025-07-29 14:15:53,TEST2_20250729_141553,40,5200,40,17,31,63,-92,10,2,off,72.185,107.534,143.437,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -60, 'tx_retries': 711, 'tx_failed': 711, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 300, 'tx_bytes': 287765696, 'rx_bytes': 225888, 'mcs_index': 7}]",UDP,1,400M,,110822060.85910095,0.005226353364203001,0.095025674209505,68:54:5a:e2:f2:c0,287765250,230212200
2025-07-29 14:17:08,TEST3_20250729_141708,40,5200,40,17,31,63,-92,10,2,off,14.096,104.304,195.328,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -60, 'tx_retries': 967, 'tx_failed': 967, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 300, 'tx_bytes': 434749236, 'rx_bytes': 228684, 'mcs_index': 7}]",UDP,1,200M,,114269465.27122436,2.639768868163617,0.259157519737008,68:54:5a:e2:f2:c0,434748790,347799032
2025-07-29 14:18:30,TEST1_20250729_141830,44,5220,80,23,15,31,-92,10,1,on,12.401,47.647,82.95,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -61, 'tx_retries': 1782, 'tx_failed': 1782, 'tx_bitrate_mbps': 390, 'rx_bitrate_mbps': 866.7, 'tx_bytes': 391105459, 'rx_bytes': 420878, 'mcs_index': 9}]",TCP,1,,,299783951.230239,0.0,,68:54:5a:e2:f2:c0,391104577,312883661
