timestamp,traffic_label,ap1_proto,ap1_streams,ap1_udp_rate,ap1_tcp_window,ap1_throughput_bps,ap1_loss_pct,ap1_jitter_ms,ap1_txd_client_mac,ap1_txd_tx_delta_bytes,ap1_txd_estimated_throughput_bps,ap1_wifi_channel,ap1_wifi_frequency_mhz,ap1_wifi_bandwidth_mhz,ap1_wifi_tx_power_dbm,ap1_wifi_cwmin,ap1_wifi_cwmax,ap1_wifi_noise_floor_dbm,ap1_wifi_channel_busy_percent,ap1_wifi_nss,ap1_wifi_rts_cts,ap1_wifi_latency_min_ms,ap1_wifi_latency_avg_ms,ap1_wifi_latency_max_ms,ap1_client_client_mac,ap1_client_signal_rssi_dbm,ap1_client_tx_retries,ap1_client_tx_failed,ap1_client_tx_bitrate_mbps,ap1_client_rx_bitrate_mbps,ap1_client_tx_bytes,ap1_client_rx_bytes,ap1_client_mcs_index,ap2_proto,ap2_streams,ap2_udp_rate,ap2_tcp_window,ap2_throughput_bps,ap2_loss_pct,ap2_jitter_ms,ap2_txd_client_mac,ap2_txd_tx_delta_bytes,ap2_txd_estimated_throughput_bps,ap2_wifi_channel,ap2_wifi_frequency_mhz,ap2_wifi_bandwidth_mhz,ap2_wifi_tx_power_dbm,ap2_wifi_cwmin,ap2_wifi_cwmax,ap2_wifi_noise_floor_dbm,ap2_wifi_channel_busy_percent,ap2_wifi_nss,ap2_wifi_rts_cts,ap2_wifi_latency_min_ms,ap2_wifi_latency_avg_ms,ap2_wifi_latency_max_ms,ap2_client_client_mac,ap2_client_signal_rssi_dbm,ap2_client_tx_retries,ap2_client_tx_failed,ap2_client_tx_bitrate_mbps,ap2_client_rx_bitrate_mbps,ap2_client_tx_bytes,ap2_client_rx_bytes,ap2_client_mcs_index
2025-08-13 17:09:22,RUN_20250813_170854_1,UDP,1,400M,,52085880.9129527,0.0,0.38047895191402964,68:54:5a:e2:f2:c0,67000855.0,53600684.0,36,5180,20,23,7,15,-92,1,2,on,1.047,1.05,1.053,68:54:5a:e2:f2:c0,-43.0,0.0,0.0,65.0,117.0,5176.0,12226.0,7.0,UDP,1,5M,,4999614.903042266,8.71177015755329,0.11700487257038854,ac:ed:5c:47:06:cb,6438619.0,5150895.0,36,5180,20,23,15,31,-92,46,2,off,1.343,2.015,2.688,ac:ed:5c:47:06:cb,-44.0,583.0,583.0,6.0,6.0,6439085.0,22033.0,
2025-08-13 17:10:30,RUN_20250813_171003_3,TCP,2,,,115551226.38037792,0.0,,68:54:5a:e2:f2:c0,144966001.0,115972800.0,44,5220,40,10,63,127,-92,1,2,off,0.861,6.499,16.665,68:54:5a:e2:f2:c0,-47.0,1.0,1.0,135.0,216.0,4953.0,9202.0,7.0,UDP,1,5M,,4999613.403170094,0.787766450417053,3.0846489212479042,ac:ed:5c:47:06:cb,6439274.0,5151419.0,36,5180,40,10,63,127,-91,5,2,off,2.278,2.609,2.952,ac:ed:5c:47:06:cb,-46.0,19.0,19.0,135.0,81.0,6439770.0,19416.0,7.0
2025-08-13 17:11:05,RUN_20250813_171037_4,TCP,1,,2M,84933568.8503187,0.0,,68:54:5a:e2:f2:c0,108210481.0,86568384.0,44,5220,80,23,15,31,-92,1,2,off,1.597,1.597,1.597,68:54:5a:e2:f2:c0,-46.0,1.0,1.0,6.0,468.0,5256.0,7431.0,5.0,UDP,1,400M,,156753402.62209848,38.158439255099026,0.1510154172977576,ac:ed:5c:47:06:cb,201635963.0,161308770.0,36,5180,40,10,31,63,-91,17,2,on,1.468,1.468,1.468,ac:ed:5c:47:06:cb,-46.0,1356.0,1356.0,6.0,6.0,201636865.0,21330.0,
2025-08-13 17:12:46,RUN_20250813_171219_7,TCP,2,,,74814514.62987694,0.0,,68:54:5a:e2:f2:c0,94030668.0,75224534.0,44,5220,40,17,63,127,-91,29,2,on,1.115,1.115,1.115,68:54:5a:e2:f2:c0,-49.0,0.0,0.0,135.0,108.0,1005.0,1583.0,7.0,UDP,1,200M,,74067503.4599723,64.3619017829215,0.30443890821094716,ac:ed:5c:47:06:cb,95278969.0,76223175.0,48,5240,20,17,7,15,-92,31,1,on,2.327,2.327,2.327,ac:ed:5c:47:06:cb,-46.0,2285.0,2291.0,65.0,52.0,95279029.0,20563.0,7.0
2025-08-13 17:13:20,RUN_20250813_171253_8,TCP,1,,,76964146.9202583,0.0,,68:54:5a:e2:f2:c0,98391337.0,78713069.0,44,5220,40,10,63,127,-91,29,1,off,2.044,2.044,2.044,68:54:5a:e2:f2:c0,-44.0,0.0,0.0,6.0,6.0,505.0,1016.0,,TCP,1,,2M,57888966.954322115,0.0,,ac:ed:5c:47:06:cb,74899788.0,59919830.0,44,5220,40,23,7,15,-92,31,1,off,2.097,2.097,2.097,ac:ed:5c:47:06:cb,-47.0,1247.0,1247.0,6.0,6.0,74900720.0,268282.0,
2025-08-13 17:13:54,RUN_20250813_171327_9,TCP,1,,,92168742.80883485,0.0,,68:54:5a:e2:f2:c0,117198642.0,93758913.0,44,5220,40,23,7,15,-91,29,2,on,0.884,1.676,2.153,,,,,,,,,,TCP,1,,,55770337.02197837,0.0,,ac:ed:5c:47:06:cb,71882993.0,57506394.0,44,5220,40,10,63,127,-92,31,2,off,0.841,1.838,2.339,ac:ed:5c:47:06:cb,-47.0,52.0,52.0,6.0,6.0,71883399.0,252574.0,
2025-08-13 17:14:29,RUN_20250813_171401_10,UDP,1,400M,,60389237.76394544,0.3088314279137574,0.3473998519316274,68:54:5a:e2:f2:c0,77682232.0,62145785.0,40,5200,40,10,63,127,-83,15,2,on,2.196,2.196,2.196,68:54:5a:e2:f2:c0,-44.0,0.0,0.0,135.0,162.0,3231.0,3719.0,7.0,TCP,8,,,35819593.47312224,0.0,,ac:ed:5c:47:06:cb,42734392.0,34187513.0,40,5200,20,17,7,15,-92,31,2,on,2.24,2.24,2.24,ac:ed:5c:47:06:cb,-50.0,785.0,785.0,6.0,144.4,42735014.0,752677.0,15.0
2025-08-13 17:15:03,RUN_20250813_171436_11,TCP,1,,512K,55787723.92045837,0.0,,68:54:5a:e2:f2:c0,72582090.0,58065672.0,44,5220,40,10,7,15,-83,15,2,on,,,,68:54:5a:e2:f2:c0,-49.0,0.0,0.0,6.0,162.0,3257.0,3873.0,12.0,UDP,1,100M,,53575566.0379151,40.6681081081081,0.07357097664428768,ac:ed:5c:47:06:cb,68920440.0,55136352.0,48,5240,20,23,31,63,-92,31,1,off,1.966,1.966,1.966,ac:ed:5c:47:06:cb,-45.0,698.0,698.0,6.0,6.0,68921312.0,21652.0,
2025-08-13 17:15:38,RUN_20250813_171510_12,TCP,8,,,64892085.292128615,0.0,,68:54:5a:e2:f2:c0,77227393.0,61781914.0,44,5220,40,17,15,31,-83,15,2,off,,,,68:54:5a:e2:f2:c0,-47.0,3.0,3.0,135.0,162.0,4624.0,6337.0,7.0,TCP,1,,2M,26038957.52866796,0.0,,ac:ed:5c:47:06:cb,32468142.0,25974513.0,44,5220,20,17,31,63,-92,31,2,off,,,,ac:ed:5c:47:06:cb,-48.0,32.0,32.0,6.0,6.0,32468548.0,178914.0,
2025-08-13 17:16:12,RUN_20250813_171545_13,TCP,16,,,115820794.0314543,0.0,,68:54:5a:e2:f2:c0,130443386.0,104354708.0,44,5220,40,23,15,31,-83,15,2,on,,,,68:54:5a:e2:f2:c0,-48.0,0.0,0.0,6.0,162.0,3257.0,3899.0,12.0,UDP,1,10M,,9999227.80625477,6.035681186283596,0.10387589723774997,ac:ed:5c:47:06:cb,12870326.0,10296260.0,36,5180,80,23,15,31,-91,5,1,on,2.391,2.391,2.391,ac:ed:5c:47:06:cb,-46.0,144.0,144.0,6.0,6.0,12870786.0,20540.0,
